000000	Officially Xerox, but	Printer
000001	Xerox	Printer
000002	Xerox	Printer
000003	Xerox	Printer
000004	Xerox	Printer
000005	Xerox	Printer
000006	Xerox	Printer
000007	Xerox	Printer
000008	Xerox	Printer
000009	Xerox	Printer
00000A	Omron Tateisi	Industrial
00000B	Matrix	
00000C	Cisco	Router
00000D	Fibronics	
00000E	Fujitsu Limited	
00000F	Next	
000010	Sytek	
000011	Normerel Systemes	
000012	Information Technology	
000013	Camex	
000014	Netronix	
000015	Datapoint	
000016	Du Pont Pixel	
000017	Oracle	
000018	Webster Computer	
000019	Applied Dynamics	
00001A	Advanced Micro Devices	Computer
00001B	Novell	
00001C	Bell	
00001D	Cabletron	
00001E	Telsist Industria	
00001F	Telco	
000020	Dataindustrier Diab Ab	
000021	Sureman Comp. & Commun	
000022	Visual	
000023	Abb Industrial Systems	Industrial
000024	Connect As	
000025	Ramtek	
000026	Sha-Ken	
000027	Japan Radio	
000028	Prodigy	
000029	Imc	
00002A	Trw - Sedd/Inp	
00002B	Crisp Automation	
00002C	Autotote Limited	
00002D	Chromatics	
00002E	Societe Evira	
00002F	Timeplex	Media Player
000030	Vg Laboratory	
000031	Qpsx	
000032	Marconi plc	
000033	Egan Machinery	
000034	Network Resources	
000035	Spectragraphics	
000036	Atari	
000037	Oxford Metrics Limited	
000038	Css	
000039	Toshiba	
00003A	Chyron	
00003B	i Controls	
00003C	Auspex	
00003D	Unisys	
00003E	Simpact	
00003F	Syntrex	
000040	Applicon	
000041	Ice	
000042	Metier Management	
000043	Micro	
000044	Castelle	
000045	Ford Aerospace &	
000046	Olivetti North America	
000047	Nicolet Instruments	
000048	Seiko Epson	Printer
000049	Apricot Computers	
00004A	Adc Codenoll	
00004B	Icl Data Oy	
00004C	NEC	
00004D	Dci	
00004E	Ampex	
00004F	Logicraft	
000050	Radisys	
000051	Hob Electronic Gmbh & Co	
000052	Intrusion.com	
000053	Compucorp	
000054	Schneider Electric	Industrial
000055	Commissariat A	
000056	Dr. B. Struck	
000057	Scitex	
000058	Racore Computer Products	
000059	Hellige	
00005A	SysKonnect	
00005B	Eltec Elektronik	
00005C	Telematics	
00005D	Cs Telecom	
00005E	ICANN, IANA Department	
00005F	Sumitomo Electric	
000060	Kontron Europe	
000061	Gateway	
000062	Bull Hn Information	
000063	Barco Control Rooms	
000064	Yokogawa Digital	Industrial
000065	Network General	
000066	Talaris	
000067	Soft * Rite	
000068	Rosemount Controls	
000069	Concord	
00006A	Computer Consoles	
00006B	Silicon Graphics	
00006C	Schneider Electric	Industrial
00006D	Cray	
00006E	Artisoft	
00006F	Madge	
000070	Hcl Limited	
000071	Adra	
000072	Miniware	
000073	Siecor	
000074	Ricoh	Printer
000075	Nortel	
000076	Abekas Video System	
000077	Interphase	
000078	Labtam Limited	
000079	Networth Incorporated	
00007A	Dana Computer	
00007B	Research Machines	
00007C	Ampere Incorporated	
00007D	Oracle	
00007E	Clustrix	
00007F	Linotype-Hell	
000080	Cray Communications A/S	
000081	Bay	
000082	Lectra Systemes	
000083	Tadpole Technology Plc	
000084	Supernet	
000085	Canon	Camera
000086	Megahertz	
000087	Hitachi	
000088	Brocade	Switch
000089	Cayman	
00008A	Datahouse Information	
00008B	Infotron	
00008C	Alloy Computer Products	
00008D	Cryptek	
00008E	Solbourne Computer	
00008F	Raytheon	
000090	Microcom	
000091	Anritsu	
000092	Cogent Data	
000093	Proteon	
000094	Asante	
000095	Sony Tektronix	
000096	Marconi	
000097	Dell EMC	Computer
000098	Crosscomm	
000099	Mtx	
00009A	Rc Computer A/S	
00009B	Information	
00009C	Rolm Mil-Spec Computers	
00009D	Locus Computing	
00009E	Marli	
00009F	Ameristar	
0000A0	SANYO Electric	
0000A1	Marquette Electric Co	
0000A2	Bay	
0000A3	Network Application	
0000A4	Acorn Computers Limited	
0000A5	Tattile	
0000A6	Network General	
0000A7	Network Computing	
0000A8	Stratus	
0000A9	Network	
0000AA	Xerox	Printer
0000AB	Logic Modeling	
0000AC	Conware Computer	
0000AD	Bruker Instruments	
0000AE	Dassault Electronique	
0000AF	Canberra	
0000B0	Rnd-Rad Network Devices	
0000B1	Alpha Micro	
0000B2	Televideo	
0000B3	Cimlinc Incorporated	
0000B4	Edimax	
0000B5	Datability Software Sys	
0000B6	Micro-Matic Research	
0000B7	Dove Computer	
0000B8	Seikosha	
0000B9	Mcdonnell Douglas	
0000BA	Siig	
0000BB	Tri-Data	
0000BC	Rockwell Automation	Industrial
0000BD	RYOSEI	
0000BE	The Nti	
0000BF	Symmetric Computer	
0000C0	Western Digital	Storage
0000C1	Madge	
0000C2	Information Presentation	
0000C3	Harris	Modem
0000C4	Waters Div. Of Millipore	
0000C5	Commscope	
0000C6	Eon	
0000C7	Arix	
0000C8	Altos Computer	
0000C9	Emulex	
0000CA	Commscope	
0000CB	Compu-Shack Electronic	
0000CC	Densan	
0000CD	Allied Telesis	Switch
0000CE	Megadata	
0000CF	Hayes Microcomputer	
0000D0	Develcon	
0000D1	Adaptec Incorporated	
0000D2	Sbe	
0000D3	Wang Laboratories	
0000D4	Pure Data	
0000D5	Micrognosis	
0000D6	Punch Line	
0000D7	Dartmouth College	
0000D8	Novell	
0000D9	Nippon Telegraph &	
0000DA	Atex	
0000DB	British	
0000DC	Hayes Microcomputer	
0000DD	Tcl Incorporated	Phone
0000DE	Cetia	
0000DF	Bell & Howell Pub Sys	
0000E0	Quadram	
0000E1	Grid	
0000E2	Acer	Computer
0000E3	Integrated Micro	
0000E4	In2 Groupe	
0000E5	Sigmex	
0000E6	Aptor Produits De Comm	
0000E7	Star Gate	
0000E8	Accton	
0000E9	Isicad	
0000EA	Upnod Ab	
0000EB	Matsushita Comm. Ind	
0000EC	Microprocess	
0000ED	April	
0000EE	Network Designers	
0000EF	Kti	
0000F0	Samsung	Phone
0000F1	Magna Computer	
0000F2	Spider	
0000F3	Gandalf Data Limited	
0000F4	Allied Telesis	Switch
0000F5	Diamond Sales Limited	
0000F6	Applied Microsystems	
0000F7	Youth Keep Enterprise	
0000F8	Digital Equipment	
0000F9	Quotron	
0000FA	Microsage Computer	
0000FB	Rechner Zur	
0000FC	Meiko	
0000FD	High Level Hardware	
0000FE	Annapolis Micro	
0000FF	Camtec	
000100	Equip'Trans	
000101	Private	
000102	3Com	Switch
000103	3Com	Switch
000104	DVICO	
000105	Beckhoff Automation	Industrial
000106	Tews Datentechnik	
000107	Leiser	
000108	AVLAB	
000109	Nagano Japan Radio	
00010A	Cis	
00010B	Space CyberLink	
00010C	System Talks	
00010D	Teledyne DALSA	
00010E	Bri-Link	
00010F	Brocade	Switch
000110	Gotham	
000111	iDigm	
000112	Shark Multimedia	
000113	Olympus	
000114	Kanda Tsushin Kogyo	
000115	Extratech	
000116	Netspect	
000117	Canal +	
000118	EZ Digital	
000119	RTUnet (Australia)	
00011A	Hoffmann und Burmeister	
00011B	Unizone	
00011C	Universal Talkware	
00011D	Centillium	
00011E	Precidia	
00011F	RC	
000120	Oscilloquartz	
000121	WatchGuard	Router
000122	Trend	
000123	Schneider Electric Japan	Industrial
000124	Acer Incorporated	Computer
000125	Yaesu Musen	
000126	PAC	
000127	OPEN	
000128	EnjoyWeb	
000129	DFI	
00012A	Telematica Sistems	
00012B	TELENET	
00012C	Aravox	
00012D	Komodo	
00012E	PC Partner	
00012F	Twinhead	
000130	Extreme	Switch
000131	Bosch Security	Camera
000132	Dranetz - BMI	
000133	KYOWA Electronic	
000134	Selectron	
000135	KDC	
000136	CyberTAN	
000137	IT Farm	
000138	XAVi	
000139	Point Multimedia	
00013A	Shelcad	
00013B	Bna	
00013C	Tiw	
00013D	RiscStation	
00013E	Ascom Tateco AB	
00013F	Neighbor World	
000140	Sendtek	
000141	Cable Print	
000142	Cisco	Router
000143	Cisco	Router
000144	Dell EMC	Computer
000145	Winsystems	
000146	Tesco Controls	
000147	Zhone	
000148	X-traWeb	
000149	Tdt	
00014A	Sony	
00014B	Ennovate	
00014C	Berkeley Process Control	
00014D	Shin Kin Enterprises	
00014E	WIN Enterprises	
00014F	Adtran	
000150	Gilat	
000151	Ensemble	
000152	Chromatek	
000153	Archtek Telecom	
000154	G3M	
000155	Promise	
000156	Firewiredirect.Com	
000157	Syswave	
000158	Electro Industries/Gauge	
000159	S1	
00015A	Digital Video	
00015B	ITALTEL S.p.A/RF-UP-I	
00015C	Cadant	
00015D	Oracle	
00015E	Best	
00015F	DIGITAL DESIGN	
000160	ELMEX	
000161	Meta Machine	
000162	Cygnet	
000163	Cisco	Router
000164	Cisco	Router
000165	AirSwitch	Switch
000166	Tc Group A/S	
000167	Hioki E.E	
000168	Vitana	
000169	Celestix	
00016A	Alitec	
00016B	LightChip	
00016C	Foxconn	
00016D	CarrierComm	Thermostat
00016E	Conklin	
00016F	Inkel	
